golden_id,record_id,conversation_state,intent,escalate,label_confidence
G048,2508707,new_issue,entitlements_subscriptions_codes,yes,high
G049,565188,new_issue,hardware_devices,yes,high
G050,975522,new_issue,purchases_billing_orders,yes,high
G051,2654345,new_issue,account_access_profile,yes,high
G052,2710677,new_issue,product_info_feedback,no,high
G053,23436,new_issue,account_access_profile,yes,high
G054,2896387,new_issue,connectivity_xbox_live,no,medium
G055,2926569,issue_followup,enforcement_safety,no,high
G056,2899257,new_issue,product_info_feedback,no,high
G057,2920247,new_issue,entitlements_subscriptions_codes,yes,high
G058,2511133,new_issue,enforcement_safety,yes,high
G059,2868605,new_issue,product_info_feedback,no,high
G060,2875118,new_issue,account_access_profile,yes,high
G061,667611,issue_followup,enforcement_safety,no,high
G062,2961531,new_issue,product_info_feedback,no,high
G063,105851,issue_followup,connectivity_xbox_live,no,high
G064,2579790,new_issue,purchases_billing_orders,no,high
G065,1252649,new_issue,product_info_feedback,no,high
G066,2740175,new_issue,product_info_feedback,yes,high
G067,863742,acknowledgement_closing,,no,high
G068,2617433,issue_followup,hardware_devices,yes,high
G069,2654303,new_issue,software_game_app,no,high
G070,2708784,issue_followup,purchases_billing_orders,yes,high
G071,546900,new_issue,product_info_feedback,no,high
G072,120892,issue_followup,enforcement_safety,no,high
G073,564261,issue_followup,enforcement_safety,no,high
G074,175092,issue_followup,purchases_billing_orders,yes,high
G075,702394,new_issue,entitlements_subscriptions_codes,no,high
G076,447532,social_offtopic,,no,high
G077,488311,new_issue,enforcement_safety,no,high
G078,564246,issue_followup,hardware_devices,yes,high
G079,2871789,new_issue,purchases_billing_orders,no,high
G080,340459,new_issue,hardware_devices,yes,high
G081,2528982,new_issue,software_game_app,no,high
G082,2819967,new_issue,entitlements_subscriptions_codes,no,high
G083,2516434,new_issue,purchases_billing_orders,yes,high
G084,2715726,issue_followup,software_game_app,no,high
G085,2916170,new_issue,install_download_update,no,high
G086,2923708,new_issue,needs_more_context,no,low
G087,2854021,new_issue,account_access_profile,no,high
G088,1352084,new_issue,product_info_feedback,no,medium
G089,509881,new_issue,install_download_update,yes,high
G090,241059,issue_followup,software_game_app,yes,high
G091,121807,new_issue,product_info_feedback,no,high
G092,1327687,acknowledgement_closing,,no,high
G093,2705236,issue_followup,purchases_billing_orders,yes,high
G094,2420232,new_issue,connectivity_xbox_live,no,high
G095,1757577,acknowledgement_closing,,no,high
G096,2975923,new_issue,connectivity_xbox_live,no,high
G097,514978,new_issue,enforcement_safety,no,high
G098,2586836,issue_followup,purchases_billing_orders,yes,high
G099,2782545,new_issue,purchases_billing_orders,yes,high
G100,515000,new_issue,connectivity_xbox_live,no,high
G101,2896393,social_offtopic,,no,medium
G102,545519,new_issue,enforcement_safety,no,high
G103,170620,new_issue,purchases_billing_orders,yes,high
G104,858904,new_issue,software_game_app,no,high
G105,522278,new_issue,account_access_profile,yes,high
G106,565151,new_issue,account_access_profile,yes,high
G107,101461,new_issue,support_process_complaint,yes,high
G108,2874276,new_issue,needs_more_context,no,low
G109,545544,new_issue,connectivity_xbox_live,no,medium
G110,2581231,new_issue,software_game_app,no,medium
G111,661186,new_issue,hardware_devices,no,high
G112,570275,acknowledgement_closing,,no,high
G113,2849578,new_issue,entitlements_subscriptions_codes,yes,high
G114,2693439,new_issue,entitlements_subscriptions_codes,yes,high
G115,2682305,new_issue,connectivity_xbox_live,no,high
G116,2903902,issue_followup,software_game_app,no,high
G117,593795,new_issue,hardware_devices,no,high
G118,493803,new_issue,account_access_profile,yes,high
G119,183230,new_issue,purchases_billing_orders,yes,medium
G120,2707875,new_issue,enforcement_safety,no,high
G121,2636050,new_issue,connectivity_xbox_live,no,high
G122,2591633,issue_followup,entitlements_subscriptions_codes,yes,high
G123,573030,new_issue,product_info_feedback,no,high
G124,2855552,acknowledgement_closing,,no,high
G125,2585946,new_issue,enforcement_safety,no,high
G126,523165,issue_followup,hardware_devices,no,high
G127,1613671,issue_followup,enforcement_safety,yes,high
G128,2796698,new_issue,entitlements_subscriptions_codes,yes,high
G129,2795214,new_issue,product_info_feedback,no,high
G130,241134,new_issue,software_game_app,no,high
G131,601589,new_issue,entitlements_subscriptions_codes,yes,high
G132,2856902,new_issue,enforcement_safety,no,high
G133,449726,new_issue,entitlements_subscriptions_codes,yes,high
G134,40580,new_issue,hardware_devices,no,high
G135,560712,issue_followup,connectivity_xbox_live,yes,high
G136,467213,social_offtopic,,no,high
G137,542766,new_issue,software_game_app,no,high
G138,2911998,new_issue,hardware_devices,no,high
G139,2455726,new_issue,product_info_feedback,no,high
G140,488317,new_issue,enforcement_safety,no,high
G141,519493,new_issue,support_process_complaint,yes,high
G142,564242,new_issue,product_info_feedback,no,high
G143,2772850,issue_followup,enforcement_safety,no,high
G144,558079,new_issue,entitlements_subscriptions_codes,yes,high
G145,2757877,new_issue,purchases_billing_orders,yes,high
G146,2511128,new_issue,connectivity_xbox_live,no,high
G147,2910537,new_issue,needs_more_context,no,low
G148,655963,new_issue,account_access_profile,yes,high
G149,2654523,new_issue,hardware_devices,no,high
G150,634657,social_offtopic,,no,high
G151,1757562,issue_followup,entitlements_subscriptions_codes,yes,high
G152,263026,acknowledgement_closing,,no,high
G153,1693245,new_issue,hardware_devices,no,high
G154,2654489,social_offtopic,,no,high
G155,109422,issue_followup,hardware_devices,yes,high
G156,705454,new_issue,support_process_complaint,yes,high
G157,621222,issue_followup,connectivity_xbox_live,no,high
G158,700164,new_issue,needs_more_context,no,low
G159,176183,new_issue,connectivity_xbox_live,yes,high
G160,169200,issue_followup,product_info_feedback,no,high
G161,454248,new_issue,software_game_app,no,high
G162,2654501,new_issue,account_access_profile,no,high
G163,2420242,new_issue,product_info_feedback,no,high
G164,466465,new_issue,software_game_app,no,high
G165,516196,new_issue,entitlements_subscriptions_codes,yes,high
G166,460972,acknowledgement_closing,,no,high
G167,592486,new_issue,account_access_profile,no,high
G168,493809,new_issue,product_info_feedback,no,high
G169,118386,issue_followup,needs_more_context,no,low
G170,456364,new_issue,hardware_devices,no,high
G171,519464,new_issue,connectivity_xbox_live,no,high
G172,918426,new_issue,hardware_devices,no,low
G173,118452,new_issue,purchases_billing_orders,yes,high
G174,2867423,new_issue,product_info_feedback,no,high
G175,177198,new_issue,purchases_billing_orders,yes,high
G176,2706407,acknowledgement_closing,,no,high
G177,461017,issue_followup,software_game_app,no,high
G178,2695210,new_issue,hardware_devices,no,high
G179,2785454,new_issue,purchases_billing_orders,no,high
G180,170572,issue_followup,hardware_devices,yes,high
G181,2866233,issue_followup,product_info_feedback,no,high
G182,509897,new_issue,entitlements_subscriptions_codes,yes,high
G183,558076,new_issue,purchases_billing_orders,yes,high
G184,570250,new_issue,support_process_complaint,yes,high
G185,2966722,social_offtopic,,no,high
G186,2380148,new_issue,entitlements_subscriptions_codes,yes,high
G187,2916138,new_issue,account_access_profile,yes,high
G188,2629352,issue_followup,connectivity_xbox_live,yes,high
G189,2955643,new_issue,purchases_billing_orders,yes,high
G190,2667877,new_issue,product_info_feedback,no,high
G191,2799590,new_issue,connectivity_xbox_live,no,high
G192,552410,new_issue,product_info_feedback,no,medium
G193,863740,new_issue,software_game_app,no,high
G194,1327675,social_offtopic,,no,medium
G195,863734,new_issue,hardware_devices,yes,high
G196,2926577,new_issue,hardware_devices,no,high
G197,2856893,new_issue,hardware_devices,yes,high
G198,62014,new_issue,hardware_devices,no,high
G199,121828,new_issue,product_info_feedback,no,high
G200,2916143,new_issue,hardware_devices,no,high
