golden_id,record_id,thread_id,slice,is_followup,created_at,lang,reply_template_in_train
G138,2911998,2911998,random,False,2017-11-28 10:34:51+00:00,en,False
G139,2455726,2455726,random,False,2017-11-15 02:03:55+00:00,en,True
G140,488317,488317,stratified:enforcement,False,2017-12-01 00:06:23+00:00,en,True
G141,519493,519493,random,False,2017-12-02 02:22:09+00:00,en,False
G142,564242,564232,random,False,2017-12-03 04:02:52+00:00,en,True
G143,2772850,2772857,stratified:enforcement,True,2017-11-27 00:44:08+00:00,en,False
G144,558079,558079,stratified:codes_subscriptions,False,2017-12-02 18:47:25+00:00,en,True
G145,2757877,2757878,random,False,2017-11-21 02:21:06+00:00,en,True
G146,2511128,2511128,stratified:support_complaint,False,2017-11-25 21:18:14+00:00,en,False
G147,2910537,2910546,random,False,2017-11-28 21:37:02+00:00,en,False
G148,655963,655963,stratified:purchases_billing,False,2017-11-22 17:06:44+00:00,en,False
G149,2654523,2654523,random,False,2017-11-19 01:42:55+00:00,en,False
G150,634657,634657,random,False,2017-11-22 15:21:49+00:00,en,False
G151,1757562,1757570,stratified:codes_subscriptions,True,2017-11-20 23:41:56+00:00,en,False
G152,263026,263027,random,True,2017-11-27 09:07:51+00:00,en,False
G153,1693245,1693245,stratified:purchases_billing,False,2017-11-26 03:43:43+00:00,en,False
G154,2654489,2654489,random,False,2017-11-19 02:49:08+00:00,en,False
G155,109422,109420,random,True,2017-11-23 19:53:16+00:00,undetermined,False
G156,705454,705455,stratified:support_complaint,False,2017-11-23 11:07:07+00:00,en,False
G157,621222,621225,random,True,2017-11-22 06:32:08+00:00,en,False
G158,700164,700164,stratified:vague,False,2017-11-23 04:37:40+00:00,en,False
G159,176183,176183,random,False,2017-11-24 23:32:02+00:00,en,False
G160,169200,169201,random,True,2017-11-25 02:03:58+00:00,en,False
G161,454248,454248,stratified:codes_subscriptions,False,2017-11-30 22:22:19+00:00,en,True
G162,2654501,2654501,stratified:account_security,False,2017-11-19 01:00:43+00:00,en,False
G163,2420242,2420242,random,False,2017-11-25 20:02:01+00:00,en,True
G164,466465,466465,random,False,2017-12-01 04:21:44+00:00,en,False
G165,516196,516196,random,False,2017-12-01 23:59:25+00:00,en,True
G166,460972,460973,random,True,2017-12-01 02:43:07+00:00,en,False
G167,592486,592486,random,False,2017-12-03 17:08:29+00:00,en,False
G168,493809,493809,random,False,2017-12-01 11:11:05+00:00,en,True
G169,118386,118388,random,False,2017-11-23 19:31:04+00:00,en,False
G170,456364,456364,random,False,2017-11-30 22:51:16+00:00,en,False
G171,519464,519464,stratified:anger,False,2017-12-01 18:06:33+00:00,en,True
G172,918426,918426,stratified:purchases_billing,False,2017-11-25 06:56:26+00:00,en,False
G173,118452,118452,random,False,2017-11-23 21:02:22+00:00,en,False
G174,2867423,2867423,random,False,2017-11-27 23:35:33+00:00,en,False
G175,177198,177198,stratified:enforcement,False,2017-11-25 00:00:12+00:00,en,False
G176,2706407,2706408,stratified:vague,False,2017-11-19 21:06:45+00:00,en,True
G177,461017,460992,random,True,2017-12-01 02:00:15+00:00,undetermined,False
G178,2695210,2695210,random,False,2017-11-19 12:16:18+00:00,en,True
G179,2785454,2785454,random,False,2017-11-21 07:13:19+00:00,en,True
G180,170572,167503,stratified:steps_failed_followup,True,2017-11-25 06:38:53+00:00,en,True
G181,2866233,2866237,stratified:codes_subscriptions,True,2017-11-28 00:36:46+00:00,en,False
G182,509897,509897,random,False,2017-12-01 21:51:25+00:00,en,False
G183,558076,558076,random,False,2017-12-02 18:02:33+00:00,en,True
G184,570250,570250,stratified:anger,False,2017-12-03 02:21:17+00:00,en,True
G185,2966722,105820,random,False,2017-11-30 00:26:38+00:00,en,True
G186,2380148,2380148,stratified:codes_subscriptions,False,2017-11-26 09:18:07+00:00,en,False
G187,2916138,2916138,stratified:account_security,False,2017-11-28 23:12:23+00:00,en,True
G188,2629352,2629353,stratified:steps_failed_followup,True,2017-11-17 17:20:44+00:00,en,False
G189,2955643,2955643,stratified:support_complaint,False,2017-11-29 13:13:05+00:00,en,False
G190,2667877,2667877,random,False,2017-11-18 16:06:12+00:00,en,False
G191,2799590,2799590,random,False,2017-11-21 21:54:58+00:00,en,False
G192,552410,552412,random,False,2017-12-02 19:00:13+00:00,en,False
G193,863740,863740,stratified:anger,False,2017-11-21 02:42:59+00:00,en,False
G194,1327675,1327675,random,False,2017-11-25 19:43:13+00:00,undetermined,True
G195,863734,863734,random,False,2017-11-21 02:51:10+00:00,en,False
G196,2926577,2926577,random,False,2017-11-29 03:35:11+00:00,en,False
G197,2856893,2856898,stratified:vague,False,2017-11-27 19:42:35+00:00,en,True
G198,62014,62018,random,False,2017-11-25 17:00:45+00:00,en,False
G199,121828,121828,random,False,2017-11-23 23:25:01+00:00,en,False
G200,2916143,2916143,random,False,2017-11-28 18:11:30+00:00,en,False
